conditions,cond_str,rebalance_days,top_n,val_annual,val_sharpe,val_win,val_dd,test_annual,test_sharpe,test_win,test_dd,robustness,final_score
"[('volatility', '>', 0.03)]",volatility > 0.03,15,10,6.718104460153284,7.190105427928746,0.9583333333333334,0.0,9.86610375985157,20.21973116039855,1.0,0.0,1.4685844524106224,5.80980074893739
"[('volatility', '>', 0.03)]",volatility > 0.03,10,30,6.589753726499836,7.0389120789147706,0.9444444444444444,-0.07388237123715435,9.50816119499844,21.392588232725323,1.0,0.0,1.4428704910113117,5.695124585126611
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,10,20,6.6684658992674635,6.697314028980969,0.9722222222222222,0.0,9.816808816035472,9.944003530862684,1.0,0.0,1.472124018376379,5.637851962003299
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,15,10,5.588673596669501,8.125934750884142,1.0,0.0,9.878344297191063,7.427429973375069,1.0,0.0,1.7675650807515286,5.532117223599992
"[('bb_position', '<', 0.5)]",bb_position < 0.5,10,20,6.714079475061311,6.012058084543568,0.9428571428571428,-0.03032455428718206,7.938176610191368,11.809862953994093,1.0,0.0,1.1823179394400718,5.39712075078174
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,15,10,5.416812839098886,7.681662329950377,0.9583333333333334,0.0,9.734418017458626,7.175750268333216,1.0,0.0,1.797074831014098,5.312905118534556
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,10,20,6.235984967369508,6.223190902401444,0.9444444444444444,-0.08440524640051084,8.907812641196228,16.075055918620816,1.0,0.0,1.42845319349026,5.270640393103239
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,15,10,5.601400204185344,7.148321133374235,0.9583333333333334,0.0,11.08689137580477,7.867334265328524,1.0,0.0,1.9793071324417577,5.245196442104942
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,15,10,5.601400204185344,7.148321133374235,0.9583333333333334,0.0,11.08689137580477,7.867334265328524,1.0,0.0,1.9793071324417577,5.245196442104942
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,10,30,5.7647343969792715,6.391564666440478,0.9722222222222222,0.0,8.432691120604145,10.539269825231582,1.0,0.0,1.4628065301712576,5.09239790445603
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,10,30,5.531181378410477,6.442531841969117,0.9722222222222222,0.0,8.565542944689515,9.512587434848424,1.0,0.0,1.5485919478473218,4.998350241795974
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,10,30,5.531181378410477,6.442531841969117,0.9722222222222222,0.0,8.565542944689515,9.512587434848424,1.0,0.0,1.5485919478473218,4.998350241795974
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,15,10,5.530374120025299,6.305021847715085,0.9583333333333334,0.0,8.725863112602473,14.470218220236122,1.0,0.0,1.5778070205063373,4.9566936143271745
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,15,20,5.112143015006427,6.965967807199662,0.9583333333333334,0.0,9.033818421380483,9.681105345003191,1.0,0.0,1.7671294396229105,4.945861849663111
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,10,30,5.507370549226392,6.068118375470179,0.9722222222222222,0.0,8.145175276174301,9.87245726739893,1.0,0.0,1.4789590065477682,4.869912588563803
"[('volatility', '>', 0.03)]",volatility > 0.03,15,20,5.105922728669971,6.403511670817334,0.9583333333333334,0.0,7.743103452706974,18.14248459713781,1.0,0.0,1.5164944446239113,4.7740148655801855
"[('bb_position', '<', 0.5)]",bb_position < 0.5,10,30,5.712655360401728,5.570965618026989,0.9428571428571428,-0.055556397676083,6.554481329209269,10.385517905847005,0.9444444444444444,-0.010099428434613866,1.147361588560515,4.757089683321063
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,20,10,4.8442231520167836,6.544127830424682,1.0,0.0,9.205703642496985,7.600329789853413,1.0,0.0,1.9003467333383264,4.685349925135796
"[('bb_position', '<', 0.5)]",bb_position < 0.5,15,10,5.134067204954703,5.962552836218801,0.9565217391304348,0.0,7.4796046011447554,16.304494034099495,1.0,0.0,1.4568575561158332,4.6471709645661585
"[('volatility', '>', 0.03)]",volatility > 0.03,20,10,4.694948404106499,6.531644160367713,0.9444444444444444,0.0,7.217498217162554,13.738504115215878,1.0,0.0,1.5372902098028753,4.606967450163563
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,15,20,4.2804452561990765,7.209264901318193,0.9583333333333334,0.0,7.333176361709695,8.44645047153782,1.0,0.0,1.7131807377023585,4.603002098494996
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,15,30,4.341411725829679,6.415719261978673,0.9583333333333334,0.0,7.551812592213506,9.569588223324256,1.0,0.0,1.739483161037967,4.395421641508441
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,15,20,4.108288111331262,6.733631947135666,0.9583333333333334,0.0,7.185783089745383,8.027056395338384,1.0,0.0,1.7490942443705293,4.374233639806331
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,10,30,4.916134684444382,5.35449610547135,0.8888888888888888,-0.12519909606683477,7.16710308279016,14.37819010962467,1.0,0.0,1.4578736228420033,4.355990898431997
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,15,20,4.265832147316912,6.264967592588254,0.9583333333333334,0.0,8.082723235528269,8.348363738672932,1.0,0.0,1.894758855106869,4.312406351434932
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,15,20,4.265832147316912,6.264967592588254,0.9583333333333334,0.0,8.082723235528269,8.348363738672932,1.0,0.0,1.894758855106869,4.312406351434932
"[('volatility', '>', 0.03)]",volatility > 0.03,15,30,4.222448792401235,5.795176447016791,0.9583333333333334,0.0,6.523787236455101,16.63845539324335,1.0,0.0,1.545024595252731,4.149777330305655
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,20,10,4.213080542833784,5.76622716128223,1.0,0.0,7.567285291816556,5.94468746494421,1.0,0.0,1.7961406659286607,4.136408419801561
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,20,10,4.11670606943796,5.648797925696612,0.9444444444444444,0.0,7.885161756738644,5.753272009909287,1.0,0.0,1.9154055751702426,4.0529924124279635
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,20,10,4.11670606943796,5.648797925696612,0.9444444444444444,0.0,7.885161756738644,5.753272009909287,1.0,0.0,1.9154055751702426,4.0529924124279635
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,15,30,3.561142590821469,6.4987068014417755,0.9583333333333334,0.0,6.045190984889169,8.539197780720775,1.0,0.0,1.6975425248261937,4.030183335843267
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,20,20,3.7430152819178604,6.144484388050749,0.9444444444444444,0.0,6.864290071187865,8.872001422551207,1.0,0.0,1.8338931460816035,4.0148529573741545
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,20,10,4.109351967292515,5.508011429145877,0.9444444444444444,0.0,7.50028989648883,5.844964348914108,1.0,0.0,1.8251758321471954,4.00707941239002
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,20,10,4.053262083582114,5.4464604594204955,0.9444444444444444,0.0,6.54882792966013,11.646899353560038,1.0,0.0,1.6156931860356125,3.960569179617205
"[('bb_position', '<', 0.5)]",bb_position < 0.5,20,10,3.523177523353041,6.4254909827145354,0.9411764705882353,0.0,4.331015751145292,10.42346894963882,1.0,0.0,1.2292925129198211,3.9350945590748454
"[('volatility', '>', 0.03)]",volatility > 0.03,20,20,3.6246131852422536,5.85359663274869,0.9444444444444444,0.0,5.54273761770595,12.978493368684587,1.0,0.0,1.5291942434777346,3.8683855824457334
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,15,20,4.003399254424533,5.213538259374325,0.9583333333333334,0.0,6.511440968886898,12.119687112717305,1.0,0.0,1.6264780390540594,3.865761105024564
"[('bb_position', '<', 0.5)]",bb_position < 0.5,15,20,3.9596247962146474,5.256016264535302,0.8695652173913043,-0.02333268419994816,5.734705499793563,14.51341972505173,1.0,0.0,1.4482951781885676,3.8462763131056277
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,15,30,3.389966925885138,6.020995466216745,0.9583333333333334,0.0,5.882100961776326,7.951556405639397,1.0,0.0,1.7351499558481616,3.8012821028075923
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,15,30,3.5069312434024034,5.552216959146645,0.9583333333333334,0.0,6.646275199193573,8.00155431393594,1.0,0.0,1.89518263629982,3.719130709445195
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,15,30,3.5069312434024034,5.552216959146645,0.9583333333333334,0.0,6.646275199193573,8.00155431393594,1.0,0.0,1.89518263629982,3.719130709445195
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,20,30,3.167160712531572,5.716027968709898,0.9444444444444444,0.0,5.7377936126800275,9.034597128699566,1.0,0.0,1.8116521810772588,3.598388746878755
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,30,10,3.3452111533667,5.210679465542113,1.0,0.0,6.1084195721883745,5.15859820443999,1.0,0.0,1.8260191336623746,3.535809416345984
"[('volatility', '>', 0.03)]",volatility > 0.03,30,10,3.3992398618973803,5.088973886633499,0.9166666666666666,0.0,4.9705168026908435,12.691163723860715,1.0,0.0,1.462243620524152,3.5187608210435704
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,20,20,3.1959214298143173,5.1145048700667,0.9444444444444444,0.0,5.622354929253194,7.105107359950325,1.0,0.0,1.7592281452237868,3.4323121759271684
"[('volatility', '>', 0.03)]",volatility > 0.03,20,30,3.0361217978393897,5.263666358756605,0.9444444444444444,0.0,4.615037638391486,12.048441844776553,1.0,0.0,1.520043643069823,3.397160806546676
"[('bb_position', '<', 0.5)]",bb_position < 0.5,15,30,3.316960118588338,4.778321517525004,0.8695652173913043,-0.03908408260322116,4.800227950338169,13.073454282939052,1.0,0.0,1.447176866383637,3.381411887828398
