conditions,cond_str,rebalance_days,top_n,total_ret,annual_ret,sharpe,sortino,win_rate,max_drawdown,n_trades,avg_ret
"[('bb_position', '<', 0.5)]",bb_position < 0.5,10,20,2407.149311644548,6.714079475061311,6.012058084543568,77.95148754797434,0.9428571428571428,-0.03032455428718206,35,0.2664317252008457
"[('bb_position', '<', 0.5)]",bb_position < 0.5,15,10,347.10406908353036,5.134067204954703,5.962552836218801,0.0,0.9565217391304348,0.0,23,0.3055992383901609
"[('volatility', '>', 0.03)]",volatility > 0.03,20,20,78.9010508150866,3.6246131852422536,5.85359663274869,0.0,0.9444444444444444,0.0,18,0.2876677131144646
"[('volatility', '>', 0.03)]",volatility > 0.03,15,30,169.46275011698037,4.222448792401235,5.795176447016791,0.0,0.9583333333333334,0.0,24,0.25133623764293067
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,20,10,145.53982069542073,4.213080542833784,5.76622716128223,0.0,1.0,0.0,18,0.3343714716534749
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,20,30,48.356985095218256,3.167160712531572,5.716027968709898,0.0,0.9444444444444444,0.0,18,0.25136196131202954
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,20,10,131.02040590900205,4.11670606943796,5.648797925696612,0.0,0.9444444444444444,0.0,18,0.3267227039236476
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,20,10,131.02040590900205,4.11670606943796,5.648797925696612,0.0,0.9444444444444444,0.0,18,0.3267227039236476
"[('bb_position', '<', 0.5)]",bb_position < 0.5,20,20,25.622312023073885,2.7843802895123733,5.600659666143512,0.0,0.9411764705882353,0.0,17,0.22098256265971217
"[('bb_position', '<', 0.5)]",bb_position < 0.5,10,30,824.7761936744671,5.712655360401728,5.570965618026989,70.35903804473087,0.9428571428571428,-0.055556397676083,35,0.2266926730318146
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,15,30,77.26522946891174,3.5069312434024034,5.552216959146645,0.0,0.9583333333333334,0.0,24,0.20874590734538115
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,15,30,77.26522946891174,3.5069312434024034,5.552216959146645,0.0,0.9583333333333334,0.0,24,0.20874590734538115
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,20,10,128.5711313581313,4.109351967292515,5.508011429145877,0.0,0.9444444444444444,0.0,18,0.32613904502321545
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,30,10,26.267233750477384,2.7571680134121848,5.4649867011752935,0.0,1.0,0.0,12,0.32823428731097437
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,20,10,120.00771591066437,4.053262083582114,5.4464604594204955,0.0,0.9444444444444444,0.0,18,0.32168746695096145
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,10,30,399.37295011201707,4.916134684444382,5.35449610547135,11.639206738735398,0.8888888888888888,-0.12519909606683477,36,0.1950847097001739
"[('volatility', '>', 0.03)]",volatility > 0.03,20,30,40.45023572994436,3.0361217978393897,5.263666358756605,0.0,0.9444444444444444,0.0,18,0.24096204744757063
"[('bb_position', '<', 0.5)]",bb_position < 0.5,15,20,101.02400989925813,3.9596247962146474,5.256016264535302,40.157121927020654,0.8695652173913043,-0.02333268419994816,23,0.23569195215563377
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,15,20,127.40631848013462,4.003399254424533,5.213538259374325,0.0,0.9583333333333334,0.0,24,0.23829757466812693
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,30,10,47.04062837745405,3.3452111533667,5.210679465542113,0.0,1.0,0.0,12,0.3982394230198452
"[('bb_position', '<', 0.5)]",bb_position < 0.5,30,10,19.32073542925883,2.7526537134380176,5.122910751191751,0.0,0.9090909090909091,0.0,11,0.327696870647383
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,20,20,48.27763110034635,3.1959214298143173,5.1145048700667,0.0,0.9444444444444444,0.0,18,0.2536445579217712
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,30,20,12.77928789284568,2.1210995411872973,5.095157938661842,0.0,0.9166666666666666,0.0,12,0.2525118501413449
"[('volatility', '>', 0.03)]",volatility > 0.03,30,10,48.95699647080384,3.3992398618973803,5.088973886633499,0.0,0.9166666666666666,0.0,12,0.4046714121306405
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,30,10,23.497570500248393,2.6691897147787134,5.057801478744094,0.0,0.9166666666666666,0.0,12,0.3177606803307992
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,20,20,42.219061532877305,3.0779254201881265,5.004595298367006,0.0,0.9444444444444444,0.0,18,0.24427979525302593
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,20,20,42.219061532877305,3.0779254201881265,5.004595298367006,0.0,0.9444444444444444,0.0,18,0.24427979525302593
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,30,20,21.264627186646216,2.583371542906288,4.944030727115398,0.0,0.9166666666666666,0.0,12,0.3075442312983676
"[('bb_position', '<', 0.5)]",bb_position < 0.5,20,30,15.661872229494527,2.3650386835734163,4.904971509625042,0.0,0.9411764705882353,0.0,17,0.18770148282328702
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,20,20,41.79495133713119,3.0806608465252685,4.832580590203625,0.0,0.9444444444444444,0.0,18,0.24449689258137053
"[('bb_position', '<', 0.5)]",bb_position < 0.5,15,30,49.59272068026654,3.316960118588338,4.778321517525004,29.43873217808208,0.8695652173913043,-0.03908408260322116,23,0.19743810229692488
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,30,10,30.16393404660088,2.9293517752077176,4.750804541750122,0.0,0.9166666666666666,0.0,12,0.3487323541913949
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,30,10,30.16393404660088,2.9293517752077176,4.750804541750122,0.0,0.9166666666666666,0.0,12,0.3487323541913949
"[('bb_position', '<', 0.5)]",bb_position < 0.5,30,20,10.011131809878236,2.1300734066649767,4.678990230890896,0.0,0.9090909090909091,0.0,11,0.25358016746011625
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,30,30,8.278634112014984,1.7731986140896647,4.676937818534792,0.0,0.9166666666666666,0.0,12,0.21109507310591247
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,30,30,13.469467090530365,2.1822360550004074,4.672744647226751,0.0,0.9166666666666666,0.0,12,0.25979000654766754
